collected_at_utc,travel_date,origin,dest,airline,flight_no,dep_time,arr_time,stops,duration,price,currency
2025-08-18T06:54:52+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:13:02+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:34:50+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:48:15+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T07:57:45+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T08:34:49+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T08:56:30+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T09:27:30+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T09:47:59+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T09:57:23+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T10:27:16+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T10:49:11+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T10:58:57+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T11:24:22+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T11:38:25+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T11:48:43+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T11:58:13+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T12:55:42+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T13:35:11+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T13:56:00+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T14:21:16+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T14:43:48+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T14:56:40+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T15:24:50+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T15:43:53+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
2025-08-18T15:55:40+00:00,2025-08-25,ICN,NRT,OZ,OZ102,2025-08-25T09:00:00,2025-08-25T11:20:00,0,PT2H20M,319200.0,KRW
